page,weight,word,evidence,question,sentence,final
Langston Hughes,-0.00,29,"{'confidence': -9.088346833333334e-07, 'final': True}",1,2,True
Langston Hughes,-0.00,30,"{'confidence': -9.883037566666668e-07, 'final': True}",1,2,True
Langston Hughes,-0.00,8,"{'confidence': -0.0005874536066666666, 'final': True}",1,3,True
Langston Hughes,-0.00,15,"{'confidence': -1.4400666666666668e-07, 'final': True}",1,3,True
Langston Hughes,-0.00,19,"{'confidence': -2.2347576666666666e-07, 'final': True}",1,3,True
Langston Hughes,-0.00,8,"{'confidence': -4.3201999333333335e-07, 'final': True}",1,4,True
Langston Hughes,-0.00,14,"{'confidence': -1.79792635e-06, 'final': True}",1,4,True
Langston Hughes,-0.00,20,"{'confidence': -1.0677728766666669e-06, 'final': True}",1,4,True
Langston Hughes,-0.00,20,"{'confidence': -1.0677728766666669e-06, 'final': True}",1,4,True
Edgar Allan Poe,-0.00,6,"{'confidence': -4.41472109125e-05, 'final': False}",2,0,False
Thomas Holley Chivers,-0.10,13,"{'confidence': -0.10200591429298597, 'final': False}",2,0,False
The Raven,-0.18,18,"{'confidence': -0.181907875, 'final': False}",2,0,False
Thanatopsis,-0.14,25,"{'confidence': -0.1381293672225, 'final': False}",2,0,False
Thomas Holley Chivers,-0.04,6,"{'confidence': -0.03576815005073, 'final': False}",2,1,False
Ulalume,-0.33,12,"{'confidence': -0.32615771950211, 'final': False}",2,1,False
Thanatopsis,-0.01,15,"{'confidence': -0.011231355185683335, 'final': False}",2,1,False
Ulalume,-0.11,8,"{'confidence': -0.11135300504233332, 'final': False}",2,2,False
Ulalume,-0.01,13,"{'confidence': -0.011945874791000002, 'final': False}",2,2,False
Thanatopsis,-0.00,18,"{'confidence': -3.5174952200000007e-05, 'final': True}",2,2,True
Thanatopsis,-0.00,8,"{'confidence': -3.6257158e-06, 'final': True}",2,3,True
Thanatopsis,-0.00,14,"{'confidence': -2.751555766666667e-06, 'final': True}",2,3,True
Thanatopsis,-0.00,20,"{'confidence': -3.1091667766666666e-06, 'final': True}",2,3,True
Thanatopsis,-0.00,26,"{'confidence': -3.34757411e-06, 'final': True}",2,3,True
Thanatopsis,-0.00,27,"{'confidence': -4.6190797766666665e-06, 'final': True}",2,3,True
Thanatopsis,-0.00,7,"{'confidence': -6.009789e-06, 'final': True}",2,4,True
Thanatopsis,-0.00,14,"{'confidence': -6.923683883333333e-06, 'final': True}",2,4,True
Thanatopsis,-0.00,15,"{'confidence': -1.4473249999999999e-05, 'final': True}",2,4,True
Thanatopsis,-0.00,15,"{'confidence': -1.4473249999999999e-05, 'final': True}",2,4,True
Immigration in fiction,-0.17,8,"{'confidence': -0.17018603575, 'final': False}",3,0,False
Italy,-0.00,14,"{'confidence': -0.001642927, 'final': True}",3,0,True
Russia,-0.19,22,"{'confidence': -0.1850349, 'final': False}",3,0,False
Ireland,-0.57,27,"{'confidence': -0.57296120875, 'final': False}",3,0,False
The Philippines,-0.38,4,"{'confidence': -0.3772397687125, 'final': False}",3,1,False
Peninsular War,-0.17,7,"{'confidence': -0.16710724, 'final': False}",3,2,False
China,-0.26,14,"{'confidence': -0.25959563, 'final': False}",3,2,False
Peninsular War,-0.26,21,"{'confidence': -0.26053897, 'final': False}",3,2,False
Peninsular War,-0.16,26,"{'confidence': -0.16035615, 'final': False}",3,2,False
Russia,-0.64,6,"{'confidence': -0.63996893, 'final': False}",3,3,False
Russia,-0.57,13,"{'confidence': -0.5714971, 'final': False}",3,3,False
Japan,-0.00,16,"{'confidence': -0.0028166473, 'final': True}",3,3,True
Japan,-0.23,8,"{'confidence': -0.23151925, 'final': False}",3,4,False
Japan,-0.76,12,"{'confidence': -0.7583694, 'final': False}",3,4,False
Vietnam,-0.00,7,"{'confidence': -4.22129055e-05, 'final': True}",3,5,True
Vietnam,-0.00,13,"{'confidence': -2.6968895e-06, 'final': True}",3,5,True
Vietnam,-0.00,19,"{'confidence': -1.0280383150000001e-06, 'final': True}",3,5,True
Vietnam,-0.00,6,"{'confidence': -8.49232815e-07, 'final': True}",3,6,True
Vietnam,-0.00,13,"{'confidence': -2.22007495e-06, 'final': True}",3,6,True
Vietnam,-0.00,17,"{'confidence': -8.418665325e-06, 'final': True}",3,6,True
Vietnam,-0.00,17,"{'confidence': -8.418665325e-06, 'final': True}",3,6,True
None,-0.80,8,"{'confidence': -0.8025129, 'final': False}",4,0,False
Hungarian literature,-0.11,11,"{'confidence': -0.11419836844499999, 'final': False}",4,0,False
The Unbearable Lightness of Being,-0.17,6,"{'confidence': -0.17070322201136873, 'final': False}",4,1,False
The Unbearable Lightness of Being,-0.13,13,"{'confidence': -0.13364417533533127, 'final': False}",4,1,False
Joseph Conrad,-0.06,7,"{'confidence': -0.0590544105575, 'final': False}",4,2,False
Fatelessness,-0.24,13,"{'confidence': -0.24478536193333333, 'final': False}",4,2,False
Book of Disquiet,-0.22,20,"{'confidence': -0.21524926692149998, 'final': False}",4,2,False
The Waste Land,-0.01,6,"{'confidence': -0.01283996517211, 'final': False}",4,3,False
The Waste Land,-0.02,12,"{'confidence': -0.021632467537549997, 'final': False}",4,3,False
The Waste Land,-0.02,20,"{'confidence': -0.021046211870883333, 'final': False}",4,3,False
Kaddish,-0.02,24,"{'confidence': -0.016774000031066667, 'final': False}",4,3,False
Fatelessness,-0.04,8,"{'confidence': -0.03930187220866666, 'final': False}",4,4,False
Fatelessness,-0.20,13,"{'confidence': -0.2018901414333333, 'final': False}",4,4,False
Fatelessness,-0.15,20,"{'confidence': -0.14607099846666668, 'final': False}",4,4,False
Fatelessness,-0.13,27,"{'confidence': -0.13259103666666666, 'final': False}",4,4,False
Kaddish,-0.00,30,"{'confidence': -1.2764663333333332e-05, 'final': True}",4,4,True
Kaddish,-0.00,7,"{'confidence': -3.9187893333333335e-06, 'final': True}",4,5,True
Kaddish,-0.00,13,"{'confidence': -2.6472835000000003e-06, 'final': True}",4,5,True
Kaddish,-0.00,20,"{'confidence': -8.4429711e-07, 'final': True}",4,5,True
Kaddish,-0.00,21,"{'confidence': -7.648279833333334e-07, 'final': True}",4,5,True
Kaddish,-0.00,21,"{'confidence': -7.648279833333334e-07, 'final': True}",4,5,True
David Mamet,-0.27,8,"{'confidence': -0.26897796050666667, 'final': False}",5,0,False
Eugene O'Neill,-0.02,15,"{'confidence': -0.01695191396298, 'final': False}",5,0,False
Eugene O'Neill,-0.00,23,"{'confidence': -1.0153116659999998e-05, 'final': True}",5,0,True
Eugene O'Neill,-0.00,6,"{'confidence': -7.410517453e-05, 'final': True}",5,1,True
Eugene O'Neill,-0.00,12,"{'confidence': -0.00013520934293, 'final': True}",5,1,True
Eugene O'Neill,-0.00,19,"{'confidence': -7.3160684600000005e-06, 'final': True}",5,1,True
Eugene O'Neill,-0.00,23,"{'confidence': -9.4140528e-06, 'final': True}",5,1,True
Eugene O'Neill,-0.00,5,"{'confidence': -5.289606680000001e-06, 'final': True}",5,2,True
Eugene O'Neill,-0.00,10,"{'confidence': -4.55054404e-06, 'final': True}",5,2,True
Eugene O'Neill,-0.00,16,"{'confidence': -3.43002958e-06, 'final': True}",5,2,True
Eugene O'Neill,-0.00,22,"{'confidence': -8.46042413e-06, 'final': True}",5,2,True
Eugene O'Neill,-0.00,7,"{'confidence': -4.23165553e-06, 'final': True}",5,3,True
Eugene O'Neill,-0.00,13,"{'confidence': -2.54792232e-06, 'final': True}",5,3,True
Eugene O'Neill,-0.00,20,"{'confidence': -1.665815228e-06, 'final': True}",5,3,True
Eugene O'Neill,-0.00,24,"{'confidence': -1.498930088e-06, 'final': True}",5,3,True
Eugene O'Neill,-0.00,7,"{'confidence': -2.23799284e-06, 'final': True}",5,4,True
Eugene O'Neill,-0.00,13,"{'confidence': -8.075488800000001e-07, 'final': True}",5,4,True
Eugene O'Neill,-0.00,15,"{'confidence': -1.18004168e-06, 'final': True}",5,4,True
Eugene O'Neill,-0.00,15,"{'confidence': -1.18004168e-06, 'final': True}",5,4,True
Spider,-0.29,7,"{'confidence': -0.28547606, 'final': False}",6,0,False
Elephant,-0.50,12,"{'confidence': -0.499831697, 'final': False}",6,0,False
Dogs,-0.72,19,"{'confidence': -0.7156046935, 'final': False}",6,0,False
Fox,-0.02,23,"{'confidence': -0.02001808, 'final': False}",6,0,False
Rabbit,-0.31,6,"{'confidence': -0.30521906, 'final': False}",6,1,False
frog,-0.61,14,"{'confidence': -0.6108437600000001, 'final': False}",6,1,False
Dogs in Literature,-0.16,20,"{'confidence': -0.15571701481965, 'final': False}",6,1,False
frog,-0.35,27,"{'confidence': -0.35160433999999996, 'final': False}",6,1,False
frog,-0.37,29,"{'confidence': -0.37371101949999996, 'final': False}",6,1,False
Dog,-0.01,8,"{'confidence': -0.010898081, 'final': False}",6,2,False
Dog,-0.25,15,"{'confidence': -0.24565327, 'final': False}",6,2,False
Dog,-0.26,20,"{'confidence': -0.25747916, 'final': False}",6,2,False
Dog,-0.32,23,"{'confidence': -0.31664407, 'final': False}",6,2,False
Dog,-0.53,9,"{'confidence': -0.5253802, 'final': False}",6,3,False
Dogs in literature,-0.09,16,"{'confidence': -0.08510972626499999, 'final': False}",6,3,False
Dog,-0.38,22,"{'confidence': -0.3756119, 'final': False}",6,3,False
frog,-0.03,28,"{'confidence': -0.02522267249, 'final': False}",6,3,False
frog,-0.23,7,"{'confidence': -0.232783919065, 'final': False}",6,4,False
Jumping Frog,-0.27,14,"{'confidence': -0.26993478615463334, 'final': False}",6,4,False
frog,-0.00,16,"{'confidence': -0.002283503805, 'final': True}",6,4,True
frog,-0.00,16,"{'confidence': -0.002283503805, 'final': True}",6,4,True
A Tale of Two Cities,-0.19,8,"{'confidence': -0.19420846915985998, 'final': False}",7,0,False
American Civil War,-0.00,14,"{'confidence': -0.00246305338, 'final': True}",7,0,True
World War I,-0.00,19,"{'confidence': -0.00027565557073333334, 'final': True}",7,0,True
World War I,-0.00,20,"{'confidence': -0.0016646833203333336, 'final': True}",7,0,True
War and Peace,-0.19,4,"{'confidence': -0.18810827707846667, 'final': False}",7,1,False
American Civil War,-0.01,12,"{'confidence': -0.010745379759443332, 'final': False}",7,1,False
American Civil War,-0.00,16,"{'confidence': -0.0020654689105466667, 'final': True}",7,1,True
American Civil War,-0.00,8,"{'confidence': -3.0073997133333335e-05, 'final': True}",7,2,True
American Civil War,-0.00,16,"{'confidence': -0.0001327646013333333, 'final': True}",7,2,True
American Civil War,-0.00,22,"{'confidence': -0.0001892017194333333, 'final': True}",7,2,True
American Civil War,-0.00,23,"{'confidence': -0.000161481682, 'final': True}",7,2,True
American Civil War,-0.01,8,"{'confidence': -0.01218942333166667, 'final': False}",7,3,False
World War I,-0.00,14,"{'confidence': -0.0003130494913333333, 'final': True}",7,3,True
World War I,-0.00,22,"{'confidence': -0.003993062525666667, 'final': False}",7,3,False
American Civil War,-0.12,27,"{'confidence': -0.11536118212176667, 'final': False}",7,3,False
American Civil War,-0.01,33,"{'confidence': -0.0105697051979, 'final': False}",7,3,False
World War I,-0.00,37,"{'confidence': -2.2598094999999997e-06, 'final': True}",7,3,True
American Civil War,-0.00,8,"{'confidence': -0.00031796433773333333, 'final': True}",7,4,True
Second Boer War,-0.07,16,"{'confidence': -0.07460030320408251, 'final': False}",7,4,False
American Civil War,-0.00,22,"{'confidence': -8.989632e-07, 'final': True}",7,4,True
American Civil War,-0.00,22,"{'confidence': -8.989632e-07, 'final': True}",7,4,True
Kurt Vonnegut,-0.03,7,"{'confidence': -0.031418782280938334, 'final': False}",8,0,False
Plautus,-0.24,11,"{'confidence': -0.24402734179530003, 'final': False}",8,0,False
Rosencrantz and Guildenstern Are Dead,-0.07,19,"{'confidence': -0.07278216560880181, 'final': False}",8,0,False
Rosencrantz and Guildenstern Are Dead,-0.05,23,"{'confidence': -0.046526983774995465, 'final': False}",8,0,False
Waiting for Godot,-0.16,30,"{'confidence': -0.164963211066075, 'final': False}",8,0,False
Waiting for Godot,-0.07,31,"{'confidence': -0.07475651703524999, 'final': False}",8,0,False
Waiting for Godot,-0.12,9,"{'confidence': -0.1182329138465, 'final': False}",8,1,False
Waiting for Godot,-0.06,16,"{'confidence': -0.0645889182694125, 'final': False}",8,1,False
Dirty Hands,-0.36,22,"{'confidence': -0.3576628971, 'final': False}",8,1,False
List of plays by Jean-Paul Sartre,-0.16,28,"{'confidence': -0.156143531503813, 'final': False}",8,1,False
Dirty Hands (Sartre play),-0.22,29,"{'confidence': -0.22463411418658752, 'final': False}",8,1,False
Dirty Hands,-0.02,8,"{'confidence': -0.02436075505, 'final': False}",8,2,False
American Buffalo (play),-0.23,14,"{'confidence': -0.23381649991106, 'final': False}",8,2,False
Speed-the-Plow,-0.12,8,"{'confidence': -0.11965702705482799, 'final': False}",8,3,False
Glengarry Glen Ross,-0.00,12,"{'confidence': -8.165077800000001e-07, 'final': True}",8,3,True
Glengarry Glen Ross (play),-0.03,20,"{'confidence': -0.0319915186209725, 'final': False}",8,3,False
Glengarry Glen Ross,-0.00,21,"{'confidence': -3.6353386e-07, 'final': True}",8,3,True
Glengarry Glen Ross (play),-0.00,7,"{'confidence': -0.00055494399131125, 'final': True}",8,4,True
Glengarry Glen Ross (play),-0.00,12,"{'confidence': -0.00181341867624375, 'final': True}",8,4,True
Glengarry Glen Ross,-0.00,15,"{'confidence': -1.054915126e-06, 'final': True}",8,4,True
Glengarry Glen Ross,-0.00,15,"{'confidence': -1.054915126e-06, 'final': True}",8,4,True
Café (novel),-0.14,9,"{'confidence': -0.1403671693914286, 'final': False}",9,0,False
Animal Farm,-0.03,15,"{'confidence': -0.0275492313155, 'final': False}",9,0,False
Tropic of Cancer (novel),-0.00,21,"{'confidence': -0.0010900331691187498, 'final': True}",9,0,True
One Hundred Years of Solitude,-0.00,27,"{'confidence': -0.00253589683075, 'final': True}",9,0,True
Real Life (novel),-0.01,32,"{'confidence': -0.010169728134333332, 'final': False}",9,0,False
Brandon Taylor,-0.30,7,"{'confidence': -0.3007879513695, 'final': False}",9,1,False
Real Life (novel),-0.06,13,"{'confidence': -0.05578821090095001, 'final': False}",9,1,False
University,-0.17,20,"{'confidence': -0.1697459, 'final': False}",9,1,False
Americanah,-0.04,25,"{'confidence': -0.0409818213, 'final': False}",9,1,False
Americanah,-0.36,31,"{'confidence': -0.3642153643, 'final': False}",9,1,False
Princeton University,-0.28,32,"{'confidence': -0.2798727819756667, 'final': False}",9,1,False
Americanah,-0.00,7,"{'confidence': -0.0023037689, 'final': True}",9,2,True
University,-0.80,15,"{'confidence': -0.7963384, 'final': False}",9,2,False
University,-0.10,6,"{'confidence': -0.10163185, 'final': False}",9,3,False
University,-0.00,12,"{'confidence': -0.003984366, 'final': False}",9,3,False
University,-0.00,18,"{'confidence': -0.00027170655, 'final': True}",9,3,True
University,-0.00,7,"{'confidence': -0.00091657834, 'final': True}",9,4,True
University,-0.00,10,"{'confidence': -0.00024156268, 'final': True}",9,4,True
University,-0.00,10,"{'confidence': -0.00024156268, 'final': True}",9,4,True
Narrator,-0.05,6,"{'confidence': -0.048243302, 'final': False}",10,0,False
Narrator,-0.43,13,"{'confidence': -0.42520598499999995, 'final': False}",10,0,False
The Yellow Wallpaper,-0.00,20,"{'confidence': -0.00016379482916666665, 'final': True}",10,0,True
The Yellow Wallpaper,-0.00,28,"{'confidence': -0.0007016935, 'final': True}",10,0,True
The Yellow Wallpaper,-0.00,6,"{'confidence': -5.413522e-07, 'final': True}",10,1,True
The Yellow Wallpaper,-0.00,10,"{'confidence': -7.400250000000001e-07, 'final': True}",10,1,True
The Yellow Wallpaper,-0.00,12,"{'confidence': -8.194940666666667e-07, 'final': True}",10,1,True
House of Usher,-0.16,6,"{'confidence': -0.15589884634649998, 'final': False}",10,2,False
The House of Usher,-0.10,11,"{'confidence': -0.09605392130792, 'final': False}",10,2,False
The Yellow Wallpaper,-0.00,12,"{'confidence': -0.00229106419, 'final': True}",10,2,True
The Yellow Wallpaper,-0.00,1,"{'confidence': -0.0017384221133333333, 'final': True}",10,3,True
The Yellow Wallpaper,-0.00,5,"{'confidence': -0.004208297473333333, 'final': False}",10,4,False
The Yellow Wallpaper,-0.00,12,"{'confidence': -0.004419478325, 'final': False}",10,4,False
The Yellow Wallpaper,-0.00,16,"{'confidence': -0.0017881522456666664, 'final': True}",10,4,True
The Yellow Wallpaper,-0.00,21,"{'confidence': -0.000976535586, 'final': True}",10,4,True
The Yellow Wallpaper,-0.00,7,"{'confidence': -0.0018919137026666664, 'final': True}",10,5,True
The Yellow Wallpaper,-0.00,13,"{'confidence': -0.0001320903381, 'final': True}",10,5,True
The Yellow Wallpaper,-0.00,20,"{'confidence': -0.0010479075893333335, 'final': True}",10,5,True
The Yellow Wallpaper,-0.01,23,"{'confidence': -0.0054997732491, 'final': False}",10,5,False
Wallpaper,-0.01,7,"{'confidence': -0.008620128908165, 'final': False}",10,6,False
The Yellow Wallpaper,-0.00,13,"{'confidence': -0.00036551987553333325, 'final': True}",10,6,True
The Yellow Wallpaper,-0.00,14,"{'confidence': -0.0005771794733333333, 'final': True}",10,6,True
The Yellow Wallpaper,-0.00,14,"{'confidence': -0.0005771794733333333, 'final': True}",10,6,True
The Girl with the Dragon Tattoo,-0.30,9,"{'confidence': -0.2968799910880667, 'final': False}",11,0,False
The Great Gatsby,-0.00,17,"{'confidence': -0.0003134196222, 'final': True}",11,0,True
The Great Gatsby,-0.28,22,"{'confidence': -0.28293938475020003, 'final': False}",11,0,False
Beloved (novel),-0.00,9,"{'confidence': -0.0045007976212666665, 'final': False}",11,1,False
The Color Purple,-0.00,15,"{'confidence': -0.00023748803666666667, 'final': True}",11,1,True
The Color Purple,-0.00,22,"{'confidence': -0.0012540132333333333, 'final': True}",11,1,True
The Color Purple,-0.00,24,"{'confidence': -0.0003715319942166667, 'final': True}",11,1,True
The Color Purple,-0.00,9,"{'confidence': -1.12243901e-06, 'final': True}",11,2,True
The Color Purple,-0.00,13,"{'confidence': -5.756449983333334e-06, 'final': True}",11,2,True
The Color Purple,-0.00,19,"{'confidence': -3.0296975000000002e-06, 'final': True}",11,2,True
The Color Purple,-0.00,22,"{'confidence': -3.2283703666666668e-06, 'final': True}",11,2,True
The Color Purple,-0.00,5,"{'confidence': -2.7912902333333336e-06, 'final': True}",11,3,True
The Color Purple,-0.00,12,"{'confidence': -2.9502284333333336e-06, 'final': True}",11,3,True
The Color Purple,-0.00,18,"{'confidence': -1.5595189999999997e-06, 'final': True}",11,3,True
The Color Purple,-0.00,6,"{'confidence': -7.400250000000001e-07, 'final': True}",11,4,True
The Color Purple,-0.00,11,"{'confidence': -1.4005808333333335e-06, 'final': True}",11,4,True
The Color Purple,-0.00,17,"{'confidence': -1.1621735166666667e-06, 'final': True}",11,4,True
The Color Purple,-0.00,6,"{'confidence': -1.3608462766666667e-06, 'final': True}",11,5,True
The Color Purple,-0.00,12,"{'confidence': -5.661552166666666e-07, 'final': True}",11,5,True
The Color Purple,-0.00,12,"{'confidence': -5.661552166666666e-07, 'final': True}",11,5,True
Cat's Cradle,-0.00,7,"{'confidence': -0.00110480150765, 'final': False}",12,0,False
Gentrification,-0.23,14,"{'confidence': -0.22619024553066666, 'final': False}",12,0,False
David Copperfield (novel),-0.15,17,"{'confidence': -0.14745961248529998, 'final': False}",12,0,False
Oliver Twist,-0.05,6,"{'confidence': -0.045196171909100004, 'final': False}",12,1,False
Fagin,-0.15,12,"{'confidence': -0.1497963454819, 'final': False}",12,1,False
Oliver Twist,-0.17,18,"{'confidence': -0.17064677433755002, 'final': False}",12,1,False
Oliver Twist,-0.12,6,"{'confidence': -0.12451724087088335, 'final': False}",12,2,False
Oliver Twist,-0.10,15,"{'confidence': -0.10206388487088335, 'final': False}",12,2,False
Oliver Twist,-0.05,17,"{'confidence': -0.05090275753755, 'final': False}",12,2,False
Tom Rakewell,-0.28,6,"{'confidence': -0.27970341375878743, 'final': False}",12,3,False
Tom Cringle's Log,-0.40,11,"{'confidence': -0.40293341239659997, 'final': False}",12,3,False
Tom Tiddler's Ground,-0.19,14,"{'confidence': -0.19451962449638335, 'final': False}",12,3,False
Tom Tiddler's Ground,-0.16,7,"{'confidence': -0.1598477680483333, 'final': False}",12,4,False
Oliver Twist,-0.42,14,"{'confidence': -0.41997541453755, 'final': False}",12,4,False
Gabriel Betteredge,-0.24,21,"{'confidence': -0.2359073302475, 'final': False}",12,4,False
Silas Marner,-0.00,23,"{'confidence': -2.756205175e-05, 'final': True}",12,4,True
Silas Marner,-0.00,4,"{'confidence': -3.8361682500000007e-07, 'final': True}",12,5,True
Silas Marner,-0.00,11,"{'confidence': -5.624223125e-07, 'final': True}",12,5,True
Silas Marner,-0.00,17,"{'confidence': -9.014310375e-07, 'final': True}",12,5,True
Silas Marner,-0.00,21,"{'confidence': -3.9481548499999996e-07, 'final': True}",12,5,True
Silas Marner,-0.00,21,"{'confidence': -3.9481548499999996e-07, 'final': True}",12,5,True
elegy,-0.00,8,"{'confidence': -0.00016414389423333335, 'final': False}",13,0,False
Tone poem,-0.00,16,"{'confidence': -0.002134461638566667, 'final': True}",13,0,True
Tone poem,-0.00,17,"{'confidence': -0.00026716426133333336, 'final': True}",13,0,True
Tone poem,-0.08,7,"{'confidence': -0.08102775850600001, 'final': False}",13,1,False
Edith Sitwell,-0.07,13,"{'confidence': -0.0745325821164125, 'final': False}",13,1,False
Edith Sitwell,-0.14,21,"{'confidence': -0.1442985006118225, 'final': False}",13,1,False
elegy,-0.00,28,"{'confidence': -8.100788766666667e-06, 'final': True}",13,1,True
Tone poem,-0.21,7,"{'confidence': -0.20602284968700002, 'final': False}",13,2,False
Tone poem,-0.05,13,"{'confidence': -0.052581397284880003, 'final': False}",13,2,False
elegy,-0.00,20,"{'confidence': -0.00011727423866666667, 'final': True}",13,2,True
elegy,-0.00,8,"{'confidence': -2.8961430766666663e-05, 'final': True}",13,3,True
elegy,-0.00,13,"{'confidence': -6.074326733333334e-06, 'final': True}",13,3,True
elegy,-0.00,18,"{'confidence': -0.0003420724831, 'final': True}",13,3,True
elegy,-0.00,8,"{'confidence': -1.6389882333333334e-06, 'final': True}",13,4,True
elegy,-0.00,14,"{'confidence': -1.7184573333333334e-06, 'final': True}",13,4,True
elegy,-0.00,15,"{'confidence': -6.270733376666667e-05, 'final': True}",13,4,True
elegy,-0.00,8,"{'confidence': -1.5148736200000001e-05, 'final': True}",13,5,True
elegy,-0.00,15,"{'confidence': -2.4584822166666667e-06, 'final': True}",13,5,True
elegy,-0.00,15,"{'confidence': -2.4584822166666667e-06, 'final': True}",13,5,True
Songs Without Words,-0.20,7,"{'confidence': -0.20359470565476667, 'final': False}",14,0,False
Tree (disambiguation),-0.07,14,"{'confidence': -0.06826490791051429, 'final': False}",14,0,False
Uncle Tom's Children,-0.12,22,"{'confidence': -0.11545197353565999, 'final': False}",14,0,False
Peach,-0.44,28,"{'confidence': -0.440518533589, 'final': False}",14,0,False
Dylan Thomas bibliography,-0.01,7,"{'confidence': -0.008983552875174999, 'final': False}",14,1,False
Roald Dahl,-0.13,14,"{'confidence': -0.13359318187755334, 'final': False}",14,1,False
Dylan Thomas bibliography,-0.07,19,"{'confidence': -0.066047684111425, 'final': False}",14,1,False
Dylan Thomas,-0.11,7,"{'confidence': -0.10615090226288336, 'final': False}",14,2,False
Dylan Thomas,-0.07,13,"{'confidence': -0.06688245542533333, 'final': False}",14,2,False
portrait,-0.00,18,"{'confidence': -0.0005411784599366667, 'final': True}",14,2,True
portrait,-0.00,19,"{'confidence': -0.0005140576581766668, 'final': True}",14,2,True
portrait,-0.00,7,"{'confidence': -0.003017146466872222, 'final': False}",14,3,False
portrait,-0.10,13,"{'confidence': -0.10032632843971999, 'final': False}",14,3,False
portrait,-0.09,18,"{'confidence': -0.09412136892650887, 'final': False}",14,3,False
portrait,-0.00,22,"{'confidence': -0.00010865478441888889, 'final': True}",14,3,True
Portrait of the Artist as a Young Man,-0.07,7,"{'confidence': -0.0667508331027875, 'final': False}",14,4,False
portrait,-0.01,13,"{'confidence': -0.012736408486649997, 'final': False}",14,4,False
Portrait of the Artist as a Young Man,-0.05,20,"{'confidence': -0.053902999766956256, 'final': False}",14,4,False
Portrait of the Artist as a Young Man,-0.05,20,"{'confidence': -0.053902999766956256, 'final': False}",14,4,False
List of English-language poets,-0.22,8,"{'confidence': -0.22133020262726597, 'final': False}",15,0,False
Jacques-Louis David,-0.00,13,"{'confidence': -2.524081658e-06, 'final': True}",15,0,True
Alexander Pope,-0.49,18,"{'confidence': -0.485188045611825, 'final': False}",15,0,False
John Keats,-0.09,9,"{'confidence': -0.09464427514243333, 'final': False}",15,1,False
Lord Byron,-0.05,15,"{'confidence': -0.0493460180535, 'final': False}",15,1,False
Lord Byron,-0.05,17,"{'confidence': -0.0498982435365, 'final': False}",15,1,False
Lord Byron,-0.05,6,"{'confidence': -0.05030078024, 'final': False}",15,2,False
Christopher Marlowe,-0.08,12,"{'confidence': -0.081211607606825, 'final': False}",15,2,False
Christopher Marlowe,-0.05,16,"{'confidence': -0.050531418005, 'final': False}",15,2,False
John Donne,-0.21,9,"{'confidence': -0.214264331, 'final': False}",15,3,False
